,,,,,,,,（単位：円）
年度,区　　 分,歳　　　　　　　　　　入,,歳　　　　　　　　　　出,,備　　　　　　　考,,
,,予　　算　　額,決　　算　　額,予　　算　　額,決　　算　　額,,,
,,,,,,,,
昭和,本予算,,,,,,,
元年度,　51 議 会,1598291785,,1598291785,,,,
,追加予算,,,,,,,
,　51 議 会,,,,,,,
,　追加 1 号,17635498,,17635498,,,,
,　 〃  2 〃,15862510,,15862510,,,,
,　 〃  3 〃,7592298,,7592298,,,,
,　52 議 会,,,,,,,
,　追加 1 号,2989151,,2989151,,,,
,　 〃  2 〃,24403326,,24403326,,,,
,計,1666774568,2056361361,1666774568,1578826425,,,
,,,,,,,,
2,本予算,,,,,,,
,　52 議 会,1730058768,,1730058768,,,,
,追加予算,,,,,,,
,　52 議 会,,,,,,,
,　追加 1 号,21075735,,21075735,,,,
,　 〃  2 〃,7835161,,7835161,,,,
,　54 議 会,,,,,,,
,　追加 1 号,348382,,348382,,,,
,計,1759318046,2062755337,1759318046,1765723080,,,
,,,,,,,,
3,本予算,,,,,,,
,　54 議 会,－,,-,,,不成立,
,　施行予算,1759318046,,1766861530,,,,
,追加予算,,,,,,,
,　55 議 会,,,,,,,
,　追加 1 号,9552147,,9552147,,,,
,　 〃  2 〃,6362215,,6362215,,,,
,　 〃  3 〃,45044484,,45044484,,,,
,　 〃  4 〃,11071980,,11071980,,,,
,　 〃  5 〃,5838646,,5838646,,,,
,　56 議 会,,,,,,,
,　追加 1 号,11906644,,11906644,,,,
,計,1849094162,2005691105,1856637646,1814855011,,実行予算,1721055604
,,,,,,,,
4,本予算,,,,,,,
,　56 議 会,1752816275,,1752816275,,,,
,追加予算,,,,,,,
,　56 議 会,,,,,,,
,　追加 1 号,3500000,,3500000,,,,
,　 〃  2 〃,97500,,97500,,,,
,　 〃  3 〃,17153265,,17153265,,,,
,計,1773567040,1826444751,1773567040,1736317055,,,
5,本予算,,,,,,,
,　57 議 会,-,,-,,,不成立,
,　施行予算,1773567040,,1785420696,,,,
,追加予算,,,,,,,
,　58 議 会,,,,,,,
,　追加 1 号,38919555,,38919555,,,,
,　 〃  2 〃,1793789,,1793789,,,,
,　59 議 会,,,,,,,
,　追加 1 号,1995359,,1995359,,,,
,計,1816275743,1596972168,1828129399,1557863732,,実行予算,1610634323
,,,,,,,,
昭和,本予算,,,,,,,
6年度,　59 議 会,1458772141,,1448528472,,,,
,追加予算,,,,,,,
,　59 議 会,,,,,,,
,　追加 1 号,28947386,,39080928,,,,
,　 〃  2 〃,1555015,,1293707,,,,
,　61 議 会,,,,,,,
,　追加 1 号,7579161,,7579161,,,,
,　 〃  2 〃,-,,1442471,,,,
,計,1496853703,1531082042,1497904739,1476875265,,,
,,,,,,,,
7,本予算,,,,,,,
,　60 議 会,-,,-,,,不成立,
,　施行予算,1496853703,,1515860099,,,,
,追加予算,,,,,,,
,　61 議 会,,,,,,,
,　追加 1 号,59519085,,59519085,,,,
,　62 議 会,,,,,,,
,　追加 1 号,401845731,,301050254,,,,
,　63 議 会,,,,,,,
,　追加 1 号,163403582,,146617543,,,,
,　64 議 会,,,,,,,
,　追加 1 号,39729606,,39729606,,,,
,　 〃  2 〃,28623591,,28623591,,,,
,計,2189975298,2045275568,2091400178,1950140623,,実行予算,2012165484
,,,,,,,,
8,本予算,,,,,,,
,　64 議 会,2239094315,,2239094315,,,,
,追加予算,,,,,,,
,　64 議 会,,,,,,,
,　追加 1 号,64010928,,64010928,,,,
,　 〃  2 〃,6309734,,6309734,,,,
,　65 議 会,,,,,,,
,　追加 1 号,1937309,,1937309,,,,
,,,,,,,,
,　追加 2 号,9151939,,9151939,,,,
,計,2320504225,2331759594,2320504225,2254662236,,,
,,,,,,,,
9,本予算,,,,,,,
,　65 議 会,2112133483,,2112133483,,,,
,追加予算,,,,,,,
,　65 議 会,,,,,,,
,　追加 1 号,20994791,,20994791,,,,
,　 〃  2 〃,9399805,,9399805,,,,
,　66 議 会,,,,,,,
,　追加 1 号,71002513,,71002513,,,,
,　67 議 会,,,,,,,
,　追加 1 号,10245625,,10245625,,,,
,計,2223776217,2246981605,2223776217,2163003905,,,
,,,,,,,,
10,本予算,,,,,,,
,　67 議 会,2193414289,,2193414289,,,,
,追加予算,,,,,,,
,　67 議 会,,,,,,,
,　追加 1 号,551668,,551668,,,,
,　 〃  2 〃,21447852,,21447852,,,,
,計,2215413809,2259321306,2215413809,2206477933,,,
,,,,,,,,
昭和,本予算,,,,,,,
11年度,　68 議 会,-,,-,,,不成立,
,　施行予算,2215413809,,2045010641,,,,
,追加予算,,,,,,,
,　69 議 会,,,,,,,
,　追加 1 号,362342262,,362342262,,,,
,　 〃  2 〃,1266309,,3099506,,,,
,　 〃  3 〃,988000,,988000,,,,
,　70 議 会,,,,,,,
,　追加 1 号,-,,6207142,,,,
,計,2580010380,2372098612,2417647551,2282175801,,実行予算,2317724429
,,,,,,,,
12,本予算,,,,,,,
,　70 議 会,2813937971,,2813937971,,,"臨時軍事費特別会計（以下臨軍という）
成立予算
　　　　　　2,022,671,158
一般会計より臨軍へ移替
　　　　　  　507,208,270
一般会計臨軍歳出予算純計
　　　　　  5,520,633,034",
,追加予算,,,,,,,
,　70 議 会,,,,,,,
,　追加 1 号,58197902,,58197902,,,,
,　71 議 会,,,,,,,
,　追加 1 号,96809496,,96809496,,,,
,　 〃  2 〃,13389749,,13389749,,,,
,　 〃  3 〃,7317570,,7317570,,,,
,,,,,,,,
,　追加 4 号,419635200,,419635200,,,,
,　72 議 会,,,,,,,
,　追加 1 号,6651919,,42607248,,,,
,　73 議 会,,,,,,,
,　追加 1 号,-,,15200000,,,,
,　 〃  2 〃,6195842,,21804322,,,,
,計,3422135649,2914470491,3488899458,2709157483,,,
,,,,,,,,
13,本予算,,,,,,,
,　73 議 会,2867796855,,2867796855,,,"臨軍成立予算額
　　　　　　4,850,000,000
一般会計臨軍歳出予算純計
　　　　　　8,083,661,901",
,追加予算,,,,,,,
,　73 議 会,,,,,,,
,　追加 1 号,386492330,,386492330,,,,
,　 〃  2 〃,171005858,,171005858,,,,
,　 〃  3 〃,89226372,,89226372,,,,
,　74 議 会,,,,,,,
,　追加 1 号,-,,16500000,,,,
,　 〃  2 〃,7839309,,19805852,,,,
,計,3522360724,3594978167,3550827267,3288029059,,,
,,,,,,,,
14,本予算,,,,,,,
,　74 議 会,3694666976,,3694666976,,,"臨軍成立予算額
　　　　　　4,605,000,000
一般会計臨軍歳出予算純計
　　　　　　8,952,462,919",
,追加予算,,,,,,,
,　74 議 会,,,,,,,
,　追加 1 号,910543937,,910543937,,,,
,　 〃  2 〃,199332614,,199332614,,,,
,　75 議 会,,,,,,,
,　追加 1 号,-,,10975000,,,,
,　 〃  2 〃,-,,29039203,,,,
,　 〃  3 〃,32092051,,38092051,,,,
,計,4836635578,4969857593,4882649781,4493833443,,,
,,,,,,,,
昭和,本予算,,,,,,,
15年度,　75 議 会,5822962303,,5822962303,,,"臨軍成立予算額
　　　　　　4,460,000,000
一般会計臨軍歳出予算純計
　　　　　 10,033,769,829",
,追加予算,,,,,,,
,　75 議 会,,,,,,,
,　追加 1 号,57684809,,57684809,,,,
,　 〃  2 〃,216684322,,216684322,,,,
,　76 議 会,,,,,,,
,　追加 1 号,-,,10112645,,,,
,　 〃  2 〃,18745391,,57403965,,,,
,　 〃  3 〃,751000,,8921785,,,,
,計,6116827825,6444987986,6173769829,5860213379,,,
,,,,,,,,
16,本予算,,,,,,,
,　76 議 会,6863261210,,6863261210,,,"臨軍成立予算額
　　　　  12,673,490,000
臨時成立予算外一般会計繰入
　　　　　 　193,490,000
　内一般会計予備費使用分
　　　　　　　74,690,000
　内一般会計予算外超過支出分
　　　　　 　118,800,000
一般会計臨軍歳出予算純計
　　　　　20,565,546,494",
,追加予算,,,,,,,
,　76 議 会,,,,,,,
,　追加 1 号,1131849423,,1131849423,,,,
,　77 議 会,,,,,,,
,　追加 1 号,214592901,,515937440,,,,
,　78 議 会,,,,,,,
,　追加 1 号,-,,4643382,,,,
,　79 議 会,,,,,,,
,　追加 1 号,1373959,,142157940,,,,
,計,8211077493,8601695118,8657849395,8133891269,,,
,,,,,,,,
17,本予算,,,,,,,
,　79 議 会,6248190268,,6235576782,,,"臨軍成立予算額
　　　　　　18,000,000,000
一般会計臨軍歳出予算純計
　　　　　　24,694,082,555",
,追加予算,,,,,,,
,　79 議 会,,,,,,,
,　追加 1 号,2450243834,,2462857320,,,,
,　 〃  2 〃,139304161,,139304161,,,,
,　80 議 会,,,,,,,
,　追加 1 号,-,,12846858,,,,
,　81 議 会,,,,,,,
,　追加 1 号,147173315,,466741372,,,,
,計,8984911578,9191608270,9317326493,8276475888,,,
,,,,,,,,
18,本予算,,,,,,,
,　81 議 会,9995556120,,9995556120,,,"臨軍成立予算額
　　　　　　27,000,000,000
一般会計臨軍歳出予算純計
　　　　　　37,090,658,463",
,追加予算,,,,,,,
,　81 議 会,,,,,,,
,　追加 1 号,2345444625,,2345444625,,,,
,　 〃  2 〃,934150525,,934150525,,,,
,　82 議 会,,,,,,,
,　追加 1 号,620004531,,620004531,,,,
,　83 議 会,,,,,,,
,　追加 1 号,-,,129007262,,,,
,　84 議 会,,,,,,,
,　追加 1 号,478060140,,435745144,,,,
,計,14373215941,14009734659,14459908207,12551813111,,,
,,,,,,,,
19,本予算,,,,,,,
,　84 議 会,15415969557,,15415969557,,,"臨軍成立予算額
　　　　　　63,000,000,000
一般会計臨軍歳出予算純計
　　　　　　77,632,582,794",
,追加予算,,,,,,,
,　84 議 会,,,,,,,
,,,,,,,,
,,,,,,,,
