,,,,,,,,（単位：千円）
年度,区　　 分,歳　　　　　　　　　　入,,歳　　　　　　　　　　出,,備　　　　　　　考,,
,,予　　算　　額,決　　算　　額,予　　算　　額,決　　算　　額,,,
,,,,,,,,
昭和,本予算,,,,,,,
22年度,　92 議 会,114503864,,114503864,,,,
,補正予算,,,,,,,
,　第 1 国会,,,,,,,
,　　　 1 号,36409,,36409,,,,
,　　　 2 〃,-,,-,,,撤回,
,　　　 3 〃,49195,,49195,,,,
,　　　 4 〃,357810,,357810,,,,
,　　　 5 〃,6263561,,6263561,,,,
,　　　 6 〃,1616,,1616,,,,
,　　　 7 〃,85602368,,85602368,,,,
,　　　 8 〃,-204647,,-204647,,,,
,　　　 9 〃,642620,,642620,,,,
,　　　10 〃,1510285,,1510285,,,,
,　　　11 〃,619785,,619785,,,,
,　第 2 国会,,,,,,,
,　　　12 〃,3474990,,3474990,,,,
,　　　13 〃,-,,-,,,撤回,
,　　　14 〃,1086166,,1086166,,,,
,　　　15 〃,311982,,311982,,,,
,計,214256004,214467252,214256004,205841065,,,
,,,,,,,,
23,暫定予算,,,,,,,
,　第 2 国会,24590461,,24590461,,,4月分,
,暫定予算,,,,,,,
,補　　正,,,,,,,
,　第 2 国会,,,,,,,
,　　　 1 号,647000,,647000,,,4月分,
,　　　 2 〃,24537334,,24537334,,,5月分,
,　　　 3 〃,25886931,,25886931,,,6月分,
,本予算,,,,,,,
,　第 2 国会,414462135,,414462135,,,(空白3日間 7月1日～3日),
,補正予算,,,,,,　 ,
,　第 3 国会,,,,,,,
,　　　 1 号,-,,-,,,審議未了,
,　第 4 国会,,,,,,,
,　　　 2 号,58683469,,58683469,,,,
,　第 5 国会,,,,,,,
,　　　 3 号,-,,-,,,,
,計,473145604,508037761,473145604,461974067,,,
,,,,,,,,
24,暫定予算,,,,,,,
,　第 5 国会,4699922,,4699922,,,4月1日～15日分,
,本予算,,,,,,,
,　第 5 国会,704934651,,704667591,,,(空白4日間 4月16日～19日),
,補正予算,,,,,,,
,　第 6 国会,,,,,,,
,　　　 1 号,36378974,,36378974,,,,
,計,741313625,758611762,741046565,699448408,,,
,,,,,,,,
25,本予算,,,,,,,
,　第 7 国会,661406090,,661406090,,,(空白2日間　4月1日～2日),
,補正予算,,,,,,,
,　第 9 国会,,,,,,,
,　　　 1 号,3170226,,3170226,,,,
,計,664576316,716792722,664576316,633294904,,,
,,,,,,,,
26,本予算,,,,,,,
,　第10国会,657420747,,657420747,,,,
,補正予算,,,,,,,
,　第12国会,,,,,,,
,　　　 1 号,136286365,,136286365,,,,
,計,793707112,895482772,793707112,749837898,,,
,,,,,,,,
27,本予算,,,,,,,
,　第13国会,852753678,,852753678,,,,
,補正予算,,,,,,,
,　第15国会,,,,,,,
,　　　 1 号,79782150,,79782150,,,,
,計,932535828,1078804642,932535828,873942208,,,
,,,,,,,,
昭和,暫定予算,,,,,,,
28年度,　第15国会,114502344,,141740815,,,4.5月分,
,暫定予算,,,,,,,
,補　　正,,,,,,,
,　第16国会,,,,,,,
,　　　 1 号,64383938,,92715324,,,6月分,
,　　　 2 〃,100458579,,96784965,,,7月分,
,本予算,,,,,,,
,　第16国会,965478349,,965478349,,,,
,補正予算,,,,,,,
,　第17国会,,,,,,,
,　　　 1 号,34429210,,34429210,,,,
,　第18国会,,,,,,,
,　　　 2 号,27343127,,27343127,,,,
,　第19国会,,,,,,,
,　　　 3 号,-,,-,,,,
,計,1027250686,1219019829,1027250686,1017164386,,,
,,,,,,,,
29,本予算,,,,,,,
,　第19国会,999588274,,999588274,,,(空白2日間　4月1日～2日),
,補正予算,,,,,,,
,　第20国会,,,,,,,
,　　　 1 号,291381,,291381,,,,
,計,999879655,1185060351,999879655,1040761409,,,
,,,,,,,,
30,暫定予算,,,,,,,
,　第22国会,128316283,,160803398,,,4.5月分,
,暫定予算,,,,,,,
,補　　正,,,,,,,
,　第22国会,,,,,,,
,　　　 1 号,66041437,,128910247,,,6月分,
,本予算,,,,,,,
,　第22国会,991457523,,991457523,,,,
,補正予算,,,,,,,
,　第24国会,,,,,,,
,　　　 1 号,21856721,,21856721,,,,
,計,1013314244,1126387004,1013314244,1018169392,,,
,,,,,,,,
31,本予算,,,,,,,
,　第24国会,1034922520,,1034922520,,,,
,補正予算,,,,,,,
,　第26国会,,,,,,,
,　　　 1 号,40000000,,40000000,,,,
,　　　 2 〃,14729753,,14729753,,,,
,計,1089652273,1232513863,1089652273,1069204886,,,
,,,,,,,,
32,本予算,,,,,,,
,　第26国会,1137464880,,1137464880,,,,
,補正予算,,,,,,,
,　第27国会,,,,,,,
,　　　 1 号,-,,-,,,,
,　第28国会,,,,,,,
,　　　 2 号,39426000,,39426000,,,,
,　　　 3 〃,7722723,,7722723,,,,
,計,1184613603,1399858140,1184613603,1187675982,,,
,,,,,,,,
33,本予算,,,,,,,
,　第28国会,1312131164,,1312131164,,,,
,補正予算,,,,,,,
,　第30国会,,,,,,,
,　　　 1 号,9098338,,9098338,,,,
,　第31国会,,,,,,,
,　　　 2 号,11853912,,11853912,,,,
,計,1333083414,1453746519,1333083414,1331562234,,,
,,,,,,,,
34,本予算,,,,,,,
,　第31国会,1419248163,,1419248163,,,,
,補正予算,,,,,,,
,　第31国会,,,,,,,
,　　　 1 号,25073979,,25073979,,,,
,　第33国会,,,,,,,
,　　　 2 号,53842805,,53842805,,,,
,　第34国会,,,,,,,
,　　　 3 号,13929657,,13929657,,,,
,計,1512094604,1597213264,1512094604,1495039607,,,
,,,,,,,,
昭和,本予算,,,,,,,
35年度,　第34国会,1569674702,,1569674702,,,,
,補正予算,,,,,,,
,　第37国会,,,,,,,
,　　　 1 号,151416000,,151416000,,,,
,　第38国会,,,,,,,
,　　　 2 号,44072000,,44072000,,,,
,計,1765162702,1961024532,1765162702,1743148126,,,
,,,,,,,,
36,本予算,,,,,,,
,　第38国会,1952776277,,1952776277,,,,
,補正予算,,,,,,,
,　第39国会,,,,,,,
,　　　 1 号,99714000,,99714000,,,,
,　第40国会,,,,,,,
,　　　 2 号,54892000,,54892000,,,,
,計,2107382277,2515931852,2107382277,2063467863,,,
,,,,,,,,
37,本予算,,,,,,,
,　第40国会,2426801228,,2426801228,,,,
,補正予算,,,,,,,
,　第42国会,,,,,,,
,　　　 1 号,54158000,,54158000,,,,
,　第43国会,,,,,,,
,　　　 2 号,82132000,,82132000,,,,
,計,2563091228,2947622913,2563091228,2556617186,,,
,,,,,,,,
38,本予算,,,,,,,
,　第43国会,2850008117,,2850008117,,,,
,補正予算,,,,,,,
,　第44国会,,,,,,,
,　　　 1 号,-,,-,,,審議未了,
,　第45国会,,,,,,,
,　　　 2 号,124187000,,124187000,,,,
,　第46国会,,,,,,,
,　　　 3 号,82612000,,82612000,,,,
,計,3056807117,3231214199,3056807117,3044291914,,,
,,,,,,,,
39,本予算,,,,,,,
,　第46国会,,,,,,,
,補正予算,3255438310,,3255438310,,,,
,　第47国会,,,,,,,
,　　　 1 号,85060000,,85060000,,,,
,計,3340498310,3446768661,3340498310,3310969453,,,
,,,,,,,,
40,本予算,,,,,,,
,　第48国会,3658080318,,3658080318,,,,
,補正予算,,,,,,,
,　第49国会,,,,,,,
,　　　 1 号,21534947,,21534947,,,,
,　第50国会,,,,,,,
,　　　 2 号,-,,-,,,審議未了,
,　第51国会,,,,,,,
,　　　 3 号,65110000,,65110000,,,,
,計,3744725265,3773096775,3744725265,3723016761,,,
,,,,,,,,
41,本予算,,,,,,,
,　第51国会,4314270390,,4314270390,,,(空白1日間　4月1日),
,補正予算,,,,,,,
,　第53国会,,,,,,,
,　　　 1 号,162877498,,162877498,,,,
,計,4477147888,4552146388,4477147888,4459195650,,,
,,,,,,,,
昭和,暫定予算,,,,,,,
42年度,　第55国会,813497236,,930015541,,,4.5月分,
,本予算,,,,,,,
,　第55国会,4950910180,,4950910180,,,,
,補正予算,,,,,,,
,　第57国会,,,,,,,
,　　　 1 号,252526763,,252526763,,,,
,計,5203436943,5299445984,5203436943,5113035412,,,
,,,,,,,,
43,暫定予算,,,,,,,
,　第58国会,89415254,,439064774,,,4月1日～16日分,
,本予算,,,,,,,
,　第58国会,5818598454,,5818598454,,,,
,補正予算,,,,,,,
,　第61国会,,,,,,,
,　　　 1 号,98734152,,98734152,,,,
,計,5917332606,6059873047,5917332606,5937081773,,,
,,,,,,,,
44,本予算,,,,,,,
,　第61国会,6739574143,,6739574143,,,,
,補正予算,,,,,,,
,　第63国会,,,,,,,
,　　　 1 号,191280067,,191280067,,,,
,計,6930854210,7109266519,6930854210,6917837983,,,
,,,,,,,,
45,暫定予算,,,,,,,
,　第63国会,155076284,,611689642,,,4月1日～18日分,
,本予算,,,,,,,
,　第63国会,7949764116,,7949764116,,,,
,補正予算,,,,,,,
,　第65国会,,,,,,,
,　　　 1 号,263321000,,263321000,,,,
,計,8213085116,8459181380,8213085116,8187696722,,,
,,,,,,,,
46,本予算,,,,,,,
,　第65国会,9414315280,,9414315280,,,,
,補正予算,,,,,,,
,　第67国会,,,,,,,
,　　　 1 号,244684087,,244684087,,,,
,計,9658999367,9970859260,9658999367,9561131214,,,
,,,,,,,,
47,暫定予算,,,,,,,
,　第68国会,556046125,,1101747501,,,4月分,
,本予算,,,,,,,
,　第68国会,11467680641,,11467680641,,,,
,補正予算,,,,,,,
,　第70国会,,,,,,,
,　　　 1 号,651268497,,651268497,,,,
,計,12118949138,12793873067,12118949138,11932172084,,,
,,,,,,,,
48,暫定予算,,,,,,,
,　第71国会,454372506,,703978162,,,4月1日～11日分,
,本予算,,,,,,,
,　第71国会,14284073130,,14284073130,,,,
,補正予算,,,,,,,
,　第72国会,,,,,,,
,　　　 1 号,988543515,,988543515,,,,
,計,15272616645,16761977894,15272616645,14778302830,,,
,,,,,,,,
昭和,暫定予算,,,,,,,
49年度,　第72国会,761572095,,999819590,,,4月1日～10日分,
,本予算,,,,,,,
,　第72国会,17099430036,,17099430036,,,,
,補正予算,,,,,,,
,　第74国会,,,,,,,
,　　　 1 号,2098701370,,2098701370,,,,
,計,19198131406,20379123417,19198131406,19099793377,,,
,,,,,,,,
50,本予算,,,,,,,
,　第75国会,21288800073,,21288800073,,,(空白1日間　4月1日),
,補正予算,,,,,,,
,　第76国会,,,,,,,
,　　　 1 号,-451642201,,-451642201,,,,
,計,20837157872,21473416054,20837157872,20860878603,,,
,,,,,,,,
51,暫定予算,,,,,,,
,　第77国会,885384632,,2922317852,,,4月1日～40日分,
,本予算,,,,,,,
,　第77国会,24296011447,,24296011447,,,,
,補正予算,,,,,,,
,　第80国会,354223172,,354223172,,,,
,計,24650234619,25076016601,24650234619,24467612048,,,
,,,,,,,,
52,暫定予算,,,,,,,
,　第80国会,131911884,,1644308926,,,4月1日～16日分,
,本予算,,,,,,,
,　第80国会,28514270145,,28514270145,,,,
,補正予算,,,,,,,
,　第82国会,,,,,,,
,　　　 1 号,270096830,,270096830,,,,
,補正予算,,,,,,,
,　第84国会,,,,,,,
,　　　 2 号,562248169,,562248169,,,,
,計,29346615144,29433622824,29346615144,29059841739,,,
,,,,,,,,
53,本予算,,,,,,,
,　第84国会,34295011306,,34295011306,,,(空白3日間　4月1日～3日),
,補正予算,,,,,,,
,　第85国会,,,,,,,
,　　　 1 号,145032366,,145032366,,,,
,計,34440043672,34907265087,34440043672,34096030207,,,
,,,,,,,,
54,本予算,,,,,,,
,　第87国会,38600142615,,38600142615,,,(空白2日間　4月1日～2日),
,補正予算,,,,,,,
,　第91国会,1067444049,,1067444049,,,,
,計,39667586664,39779228187,39667586664,38789831175,,,
,,,,,,,,
55,本予算,,,,,,,
,　第91国会,42588843011,,42588843011,,,(空白3日間　4月1日～3日),
,補正予算,,,,,,　 ,
,　第94国会,1092523638,,1092523638,,,,
,計,43681366649,44040667244,43681366649,43405025594,,,
,,,,,,,,
昭和,本予算,,,,,,,
56年度,　第94国会,46788131080,,46788131080,,,(空白1日間　4月1日),
,補正予算,,,,,,　　　 ,
,　第96国会,337233019,,337233019,,,,
,計,47125364099,47443337516,47125364099,46921154038,,,
,,,,,,,,
57,本予算,,,,,,,
,　第96国会,49680836840,,49680836840,,,(空白4日間　4月1日～4日),
,補正予算,,,,,,　 ,
,　第97国会,-2118696872,,-2118696872,,,,
,計,47562139968,48001280929,47562139968,47245063707,,,
,,,,,,,,
58,本予算,,,,,,,
,　第98国会,50379603315,,50379603315,,,(空白3日間　4月1日～3日),
,補正予算,,,,,,　 ,
,　第101国会,459838429,,459838429,,,,
,計,50839441744,51652904579,50839441744,50635307105,,,
,,,,,,,,
59,暫定予算,,,,,,,
,　第101国会,28567552,,3039721544,,,4月1日～11日分,
,本予算,,,,,,,
,　第101国会,50627214316,,50627214316,,,,
,補正予算,,,,,,,
,　第102国会,886145328,,886145328,,,,
,計,51513359644,52183384771,51513359644,51480622713,,,
,,,,,,,,
60,本予算,,,,,,,
,　第102国会,52499643415,,52499643415,,,(空白4日間　4月1日～4日),
,補正予算,,,,,,　 ,
,　第104国会,723238802,,723238802,,,,
,計,53222882217,53992561588,53222882217,53004511048,,,
,,,,,,,,
61,本予算,,,,,,,
,　第104国会,54088643440,,54088643440,,,(空白3日間　4月1日～3日),
,補正予算,,,,,,　 ,
,　第107国会,-263815353,,-263815353,,,,
,計,53824828087,56489194252,53824828087,53640431846,,,
,,,,,,,,
62,暫定予算,,,,,,,
,　第108国会,2530721641,,8828980839,,,4月1日～50日分,
,本予算,,,,,,,
,　第108国会,54101019241,,54101019241,,,,
,補正予算,,,,,,,
,　第109国会,2079275323,,2079275323,,,,
,補正予算,,,,,,,
,　第112国会,2033861142,,2033861142,,,,
,計,58214155706,61388769050,58214155706,57731141050,,,
,,,,,,,,
63,暫定予算,,,,,,(空白4日間　4月1日～4日)　,
,　第112国会,21073571,,3091499941,,,4月1日～8日分,
,本予算,,,,,,,
,　第112国会,56699713560,,56699713560,,,,
,補正予算,,,,,,,
,　第114国会,5152017703,,5152017703,,,,
,計,61851731263,64607380548,61851731263,61471062377,,,
,,,,,,,,
 （注）歳入歳出予算欄が―で備考欄に説明のないものは予算総則等の補正であって歳入歳出予算の計数に異動のないものである。,,,,,,,,
