,,,,,,（単位：千円）,
令　　　　　和　　　　　４　　　　　年　　　　　度,,,,,,,
主　 要　 経　 費 　別,,,,当　初　予　算,補　正　予　算,計,
,,,,,,,
,社会保障関係費,,,,,,
,1.,年金給付費,,12764072176,－,12764072176,
,2.,医療給付費,,12092506004,71516477,12164022481,
,3.,介護給付費,,3580256585,-1867175,3578389410,
,4.,少子化対策費,,3109416261,73509714,3182925975,
,5.,生活扶助等社会福祉費,,4175866897,369330851,4545197748,
,6.,保健衛生対策費,,475601544,3374227795,3849829339,
,7.,雇用労災対策費,,75822695,778874261,854696956,
,計,,,36273542162,4665591923,40939134085,
,文教及び科学振興費,,,,,,
,1.,義務教育費国庫負担金,,1501467000,14182577,1515649577,
,2.,科学技術振興費,,1378764936,2803110417,4181875353,
,3.,文教施設費,,74329393,127377990,201707383,
,4.,教育振興助成費,,2313851595,465007022,2778858617,
,5.,育英事業費,,121703097,12926892,134629989,
,計,,,5390116021,3422604898,8812720919,
,国債費,,,24339284865,-267622104,24071662761,
,恩給関係費,,,122149377,-351633,121797744,
,地方交付税交付金,,,15655838658,1634820465,17290659123,
,地方特例交付金,,,226700000,-3993279,222706721,
,防衛関係費,,,5368725109,441767000,5810492109,
,公共事業関係費,,,,,,
,1.,治山治水対策事業費,,950737000,332105990,1282842990,
,2.,道路整備事業費,,1665986000,313695351,1979681351,
,3.,港湾空港鉄道等整備事業費,,398783000,94405286,493188286,
,4.,住宅都市環境整備事業費,,729932000,247502655,977434655,
,5.,公園水道廃棄物処理等施設整備費,,161911000,74085066,235996066,
,6.,農林水産基盤整備事業費,,608052000,237559615,845611615,
,7.,社会資本総合整備事業費,,1397301000,314393000,1711694000,
,8.,推進費等,,67573000,200000,67773000,
,小　　　　　　計,,,5980275000,1613946963,7594221963,
,9.,災害復旧等事業費,,77248000,381783000,459031000,
,計,,,6057523000,1995729963,8053252963,
,経済協力費,,,510547003,336419262,846966265,
,中小企業対策費,,,171267428,1247274658,1418542086,
,エネルギー対策費,,,875642103,1321187524,2196829627,
,食料安定供給関係費,,,1270120994,491199542,1761320536,
,その他の事項経費,,,5834967838,10078516320,15913484158,
,"新型コロナウイルス感染症及び
原油価格・物価高騰対策予備費",,,5000000000,4860000000,9860000000,　
,ウクライナ情勢経済緊急対応予備費,,,,1000000000,1000000000,
,予備費,,,500000000,400000000,900000000,
,,,,,,,
,合　　　　　　計,,,107596424558,31623144539,139219569097,
