,,,,,,（単位：千円）
令　　　　　和　　　　　６　　　　　年　　　　　度,,,,,,
主　 要　 経　 費 　別,,,,当　初　予　算,補　正　予　算,計
,,,,,,
,社会保障関係費,,,,,
,1.,年金給付費,,13401996871,-,13401996871
,2.,医療給付費,,12236598864,15064191,12251663055
,3.,介護給付費,,3718779150,-4027527,3714751623
,4.,少子化対策費,,3382304118,20608487,3402912605
,5.,生活扶助等社会福祉費,,4491222080,547423775,5038645855
,6.,保健衛生対策費,,444403869,312562188,756966057
,7.,雇用労災対策費,,43996433,35589485,79585918
,計,,,37719301385,927220599,38646521984
,文教及び科学振興費,,,,,
,1.,義務教育費国庫負担金,,1562712000,63325771,1626037771
,2.,科学技術振興費,,1409224017,822390569,2231614586
,3.,文教施設費,,73217207,229073228,302290435
,4.,教育振興助成費,,2308618529,127537813,2436156342
,5.,育英事業費,,117845786,3020987,120866773
,計,,,5471617539,1245348368,6716965907
,国債費,,,27009019191,-1100876367,25908142824
,恩給関係費,,,77130267,435599,77565866
,地方交付税交付金,,,16654311115,1832442702,18486753817
,地方特例交付金,,,1132000000,1234252,1133234252
,防衛関係費,,,7917176714,932847119,8850023833
,公共事業関係費,,,,,
,1.,治山治水対策事業費,,954832000,369475316,1324307316
,2.,道路整備事業費,,1671492000,395230851,2066722851
,3.,港湾空港鉄道等整備事業費,,403734000,105757119,509491119
,4.,住宅都市環境整備事業費,,730304000,230385672,960689672
,5.,公園水道廃棄物処理等施設整備費,,196806000,97078705,293884705
,6.,農林水産基盤整備事業費,,607968000,286278787,894246787
,7.,社会資本総合整備事業費,,1377105000,411752458,1788857458
,8.,推進費等,,62338000,9346940,71684940
,小　　　　　　計,,,6004579000,1905305848,7909884848
,9.,災害復旧等事業費,,78171000,443722000,521893000
,計,,,6082750000,2349027848,8431777848
,経済協力費,,,504106097,237224681,741330778
,中小企業対策費,,,169316048,589829729,759145777
,エネルギー対策費,,,832920713,1572525772,2405446485
,食料安定供給関係費,,,1261795735,464133179,1725928914
,その他の事項経費,,,5740243618,4891891823,10632135441
,"原油価格・物価高騰対策及び
賃上げ促進環境整備対応予備費",,,1000000000,ー,1000000000
,予備費,,,1000000000,ー,1000000000
,,,,,,
,合　　　　　　計,,,112571688422,13943285304,126514973726
