id,label,type

# 歳入
tax_stamp,租税及び印紙収入,revenue_item
misc_revenue,雑収入,revenue_item
bonds,公債金,revenue_item
other_revenue,その他歳入,revenue_item
government_business,官業益金及び官業収入,revenue_detail
government_assets,政府資産整理収入,revenue_detail
revenue_total,歳入,revenue_total

# 歳出
spending_total,歳出,spending_total
social_security,社会保障関係費,spending_item
education_science,文教及び科学振興費,spending_item
debt_service,国債費,spending_item
local_allocation,地方交付税交付金,spending_item
defense,防衛関係費,spending_item
public_works,公共事業関係費,spending_item
food_stability,食料安定供給関係費,spending_item
other_matters,その他の事項経費,spending_item
other_spending_group,その他歳出,spending_item
pension,恩給関係費,spending_detail
local_special_grants,地方特例交付金,spending_detail
economic_cooperation,経済協力費,spending_detail
sme_measures,中小企業対策費,spending_detail
energy_measures,エネルギー対策費,spending_detail
reserve_fund,予備費,spending_detail
